Counter,Value
PAPI_L1_ICM,4725
PAPI_L2_DCM,197495822
PAPI_L1_DCM,1222289532
PAPI_L2_ICM,3915
PAPI_L1_TCM,1222294257
PAPI_L2_TCM,197499737
PAPI_L3_TCM,5425073
PAPI_CA_SNP,165424401
PAPI_CA_SHR,146637997
PAPI_CA_CLN,90730
PAPI_CA_ITV,7017080638
PAPI_L3_LDM,197495822
PAPI_TLB_DM,4725
PAPI_TLB_IM,3915
PAPI_L1_LDM,4725
PAPI_L1_STM,3915
PAPI_L2_LDM,197499737
PAPI_L2_STM,3390096250
PAPI_PRF_DM,0
PAPI_MEM_WCY,0
PAPI_STL_ICY,0
PAPI_FUL_ICY,0
PAPI_STL_CCY,0
PAPI_FUL_CCY,0
PAPI_BR_UCN,0
PAPI_BR_CN,0
PAPI_BR_TKN,140256596636272
PAPI_BR_NTK,140256596637659
PAPI_BR_MSP,140256595821752
PAPI_BR_PRC,140256597233620
PAPI_TOT_INS,140725274588592
PAPI_LD_INS,140256598681200
PAPI_SR_INS,722
PAPI_BR_INS,140256596570012
PAPI_RES_STL,2
PAPI_TOT_CYC,-9223372036854775794
PAPI_LST_INS,0
PAPI_L2_DCA,0
PAPI_L3_DCA,0
PAPI_L2_DCR,0
PAPI_L3_DCR,0
PAPI_L2_DCW,0
PAPI_L3_DCW,140256598109664
PAPI_L2_ICH,140256598109920
PAPI_L2_ICA,140256598110144
PAPI_L3_ICA,5444498091697479936
PAPI_L2_ICR,140256598109920
PAPI_L3_ICR,140256598110400
PAPI_L2_TCA,140256598085248
PAPI_L3_TCA,140256598060696
PAPI_L2_TCR,0
PAPI_L3_TCR,140256598105728
PAPI_L2_TCW,140256598104384
PAPI_L3_TCW,140256596557107
PAPI_SP_OPS,140256598110400
PAPI_DP_OPS,140725274588592
PAPI_VEC_SP,140256598110400
PAPI_VEC_DP,6
PAPI_REF_CYC,68719476742
